,DEC_SCX,DEC_SCZ,DEC_ZENITH,LIVETIME,RA_SCX,RA_SCZ,RA_ZENITH,ROCK_ANGLE,START,STOP
11742,28.4698486328125,-59.7807731628418,-15.755291938781738,27.531550056307914,129.80282592773438,151.21124267578125,118.63529968261719,-49.99726486206055,333926646.6,333926676.6
11743,28.88567352294922,-58.96647262573242,-15.08909797668457,27.498622972590162,129.45973205566406,152.97225952148438,120.46392822265625,-49.996700286865234,333926676.6,333926706.6
11744,29.259782791137695,-58.15119171142578,-14.408219337463379,27.51474893106981,129.09803771972656,154.69223022460938,122.28119659423828,-49.99647903442383,333926706.6,333926736.6
11745,29.59026527404785,-57.33721923828125,-13.713414192199707,27.51536586966894,128.72410583496094,156.3753204345703,124.08748626708984,-49.99801254272461,333926736.6,333926766.6
11746,29.871776580810547,-56.53021240234375,-13.005463600158691,27.53390848169879,128.3404541015625,158.0240020751953,125.8832015991211,-50.004730224609375,333926766.6,333926796.6
11747,30.118270874023438,-55.71568298339844,-12.285120964050293,27.621117640300145,127.94561004638672,159.63551330566406,127.66879272460938,-50.00334167480469,333926796.6,333926826.6
11748,30.321910858154297,-54.90182876586914,-11.553165435791016,27.572254231551373,127.5455322265625,161.21636962890625,129.4447479248047,-50.00078582763672,333926826.6,333926856.6
11749,30.477998733520508,-54.09304428100586,-10.810357093811035,27.63073949541892,127.14413452148438,162.7725830078125,131.2115478515625,-50.001277923583984,333926856.6,333926886.6
11750,30.590457916259766,-53.286903381347656,-10.057450294494629,27.579531986747334,126.74494171142578,164.3024444580078,132.96974182128906,-50.001068115234375,333926886.6,333926916.6
11751,30.659683227539062,-52.48405456542969,-9.29520320892334,27.590455436090437,126.3521957397461,165.80810546875,134.71990966796875,-50.000247955322266,333926916.6,333926946.6
11752,30.685710906982422,-51.68625259399414,-8.524372100830078,27.596879173021208,125.9707260131836,167.29116821289062,136.46258544921875,-49.99959945678711,333926946.6,333926976.6
11753,30.667476654052734,-50.89212417602539,-7.745693206787109,27.61323687609154,125.59898376464844,168.75718688964844,138.19839477539062,-49.99929428100586,333926976.6,333927006.6
11754,30.60727882385254,-50.10245132446289,-6.959906578063965,27.55054530531102,125.24336242675781,170.20571899414062,139.92791748046875,-49.99874496459961,333927006.6,333927036.6
11755,30.50627899169922,-49.31880569458008,-6.167770862579346,27.561143397412852,124.9087142944336,171.63734436035156,141.6518096923828,-49.99836730957031,333927036.6,333927066.6
11756,30.36727523803711,-48.53920364379883,-5.370028972625732,27.515547077451835,124.59768676757812,173.0543670654297,143.3707275390625,-49.9967041015625,333927066.6,333927096.6
11757,30.18698501586914,-47.769020080566406,-4.567400932312012,27.544923939438913,124.31219482421875,174.4577178955078,145.0852813720703,-49.997398376464844,333927096.6,333927126.6
11758,29.970550537109375,-47.005130767822266,-3.7606263160705566,27.586045124748853,124.05685424804688,175.84954833984375,146.796142578125,-49.998165130615234,333927126.6,333927156.6
11759,29.720399856567383,-46.247371673583984,-2.9504234790802,27.55253348840951,123.8328628540039,177.22926330566406,148.5039825439453,-49.997840881347656,333927156.6,333927186.6
11760,29.43194580078125,-45.50054931640625,-2.13753604888916,27.520633535348118,123.64385223388672,178.60365295410156,150.20950317382812,-50.002349853515625,333927186.6,333927216.6
11761,29.119770050048828,-44.756988525390625,-1.3226736783981323,27.531396669046327,123.4915542602539,179.96389770507812,151.91334533691406,-50.001163482666016,333927216.6,333927246.6
11762,28.779884338378906,-44.02168273925781,-0.5065686106681824,12.379527552583244,123.37750244140625,181.31443786621094,153.6162109375,-49.99940872192383,333927246.6,333927260.08634484
11763,28.449077606201172,-43.36727523803711,0.22969754040241241,27.498398056631764,123.30912780761719,182.5270538330078,155.1512908935547,-49.9993782043457,333927273.64855415,333927303.6
11764,28.060935974121094,-42.64926528930664,1.044836163520813,27.55066306878192,123.27227783203125,183.86373901367188,156.8514404296875,-49.9980583190918,333927303.6,333927333.6
11765,27.65047264099121,-41.94007110595703,1.860430121421814,27.516403126466628,123.2782974243164,185.19602966308594,158.55535888671875,-49.997093200683594,333927333.6,333927363.6
11766,27.219327926635742,-41.24192428588867,2.6744296550750732,27.4749594698406,123.3277816772461,186.52310180664062,160.260986328125,-49.99738311767578,333927363.6,333927393.6
11767,26.77066421508789,-40.55342102050781,3.4861013889312744,27.464948177285105,123.42057800292969,187.84555053710938,161.968994140625,-49.997493743896484,333927393.6,333927423.6
11768,26.307512283325195,-39.87501525878906,4.294728755950928,27.417402019702916,123.5572509765625,189.16310119628906,163.68006896972656,-49.99715042114258,333927423.6,333927453.6
11769,25.830963134765625,-39.20743942260742,5.099575042724609,27.411132866599342,123.73825073242188,190.47755432128906,165.39488220214844,-49.997230529785156,333927453.6,333927483.6
11770,25.34398078918457,-38.5506706237793,5.899908542633057,27.335965906868616,123.96359252929688,191.7888641357422,167.11410522460938,-49.997196197509766,333927483.6,333927513.6
11771,24.8472957611084,-37.9049072265625,6.694983959197998,27.33539127277639,124.23214721679688,193.09808349609375,168.83837890625,-49.9971923828125,333927513.6,333927543.6
11772,24.343185424804688,-37.27126693725586,7.48405647277832,27.24876343193845,124.5435562133789,194.4046630859375,170.568359375,-49.99747085571289,333927543.6,333927573.6
11773,23.836015701293945,-36.64580535888672,8.266375541687012,27.20749899738197,124.89903259277344,195.71153259277344,172.3046875,-49.99541473388672,333927573.6,333927603.6
11774,23.324325561523438,-36.03413391113281,9.041194915771484,27.19007268509272,125.29591369628906,197.0161590576172,174.04798889160156,-49.99433517456055,333927603.6,333927633.6
11775,22.80864143371582,-35.4386100769043,9.807766914367676,27.074428127374116,125.73291015625,198.31805419921875,175.79884338378906,-49.995723724365234,333927633.6,333927663.6
11776,22.294700622558594,-34.8546028137207,10.565323829650879,26.970498317692183,126.21150207519531,199.61962890625,177.55784606933594,-49.99616622924805,333927663.6,333927693.6
11777,21.780786514282227,-34.282135009765625,11.313097953796387,26.931186549542097,126.72834777832031,200.9215545654297,179.3255615234375,-49.99554443359375,333927693.6,333927723.6
11778,21.268033981323242,-33.724815368652344,12.050325393676758,26.813919030184053,127.28276824951172,202.2224884033203,181.1025390625,-49.996124267578125,333927723.6,333927753.6
11779,20.76029396057129,-33.1803092956543,12.77623176574707,26.704505345353724,127.8747329711914,203.5231475830078,182.88931274414062,-49.99578857421875,333927753.6,333927783.6
